Prùmìrná hrubá mìsíèní mzda				
				
			Území	Èeská republika
			Mìøicí jednotka	Kè
				
Období		Nominální mzda na pøepoètené poèty zamìstnancù		
		celkem	podnikatelská sféra	nepodnikatelská sféra
2010	1. ètvrtletí 	22 738	22 636	23 191
	2. ètvrtletí 	23 504	23 369	24 105
	3. ètvrtletí 	23 600	23 531	23 915
	4. ètvrtletí	25 591	25 370	26 593
2011	1. ètvrtletí 	23 372	23 495	22 811
	2. ètvrtletí 	24 116	24 159	23 917
	3. ètvrtletí 	24 107	24 092	24 178
	4. ètvrtletí 	26 211	26 029	27 038
2012	1. ètvrtletí 	24 131	24 255	23 562
	2. ètvrtletí 	24 627	24 671	24 426
	3. ètvrtletí 	24 439	24 383	24 701
	4. ètvrtletí 	27 055	26 992	27 346
2013	1. ètvrtletí 	24 013	24 107	23 589
	2. ètvrtletí 	24 917	24 926	24 879
	3. ètvrtletí 	24 778	24 744	24 930
	4. ètvrtletí 	26 591	26 368	27 581
2014	1. ètvrtletí 	24 817	24 979	24 099
	2. ètvrtletí 	25 492	25 537	25 292
	3. ètvrtletí 	25 213	25 179	25 364
	4. ètvrtletí 	27 200	26 874	28 640
2015	1. ètvrtletí 	.	.	.
	2. ètvrtletí 	.	.	.
	3. ètvrtletí 	.	.	.
	4. ètvrtletí 	.	.	.
