Hrubé mìsíèní mzdy podle pohlaví v krajích						
						
					Období	2010
					Mìøicí jednotka	Kè
						
	Hrubá mìsíèní mzda celkem			Medián hrubých mìsíèních mezd		
	celkem	muži	ženy	celkem	muži	ženy
Èeská republika	26 881	30 192	22 666	22 608	24 693	20 070
Hlavní mìsto Praha	36 124	41 209	30 022	28 392	31 063	25 728
Støedoèeský kraj	27 001	30 106	22 638	23 386	25 548	20 444
Jihoèeský kraj	23 418	26 205	19 967	20 479	22 302	18 080
Plzeòský kraj	25 482	27 888	22 141	22 634	24 387	20 349
Karlovarský kraj	22 498	25 021	19 705	20 110	22 655	17 487
Ústecký kraj	24 874	27 792	21 043	21 860	23 825	19 216
Liberecký kraj	25 089	27 832	21 671	22 289	24 241	19 946
Královéhradecký kraj	23 950	26 753	20 555	21 174	23 322	19 065
Pardubický kraj	23 537	26 401	19 852	20 721	22 404	18 242
Vysoèina	23 944	27 185	19 415	21 059	23 353	17 485
Jihomoravský kraj	26 223	29 672	21 727	22 139	24 293	19 482
Olomoucký kraj	23 997	26 431	20 464	21 423	22 863	18 911
Zlínský kraj	23 219	26 068	19 393	20 666	22 472	17 788
Moravskoslezský kraj	24 554	27 407	20 721	21 883	24 026	19 083
